,Full_names,Stars,Num_Forks,Num_Commits,Topics,Size
0,python-jsonschema/jsonschema,4088,541,2461,"['json-schema', 'json', 'validation', 'schema', 'jsonschema']",2954
1,pallets-eco/flask-sqlalchemy,3968,870,933,"['python', 'flask', 'sqlalchemy', 'flask-sqlalchemy']",1498
2,shapely/shapely,3236,511,2185,[],4970
3,websocket-client/websocket-client,3201,714,1212,"['websocket', 'websockets', 'websocket-client', 'websockets-client', 'python', 'rfc-6455']",1370
4,jelmer/dulwich,1873,364,4244,"['python', 'pypy', 'version-control', 'git', 'python-3', 'cpython', 'dulwich']",15551
5,pymodbus-dev/pymodbus,1752,723,1523,"['python', 'modbus', 'modbus-rtu', 'modbus-tcp', 'modbus-serial', 'modbus-slave', 'modbus-protocol', 'modbus-master', 'modbus-library']",8552
6,JulienPalard/Pipe,1613,100,123,[],195
7,gaphor/gaphor,1358,150,9694,"['python', 'uml', 'modeling', 'gnome', 'gtk', 'diagram', 'sysml', 'mbse', 'model-based-systems-engineering', 'c4model', 'fta', 'stpa']",41779
8,NixOS/nixops,1313,356,3577,"['nix', 'devops', 'python', 'nixos', 'hetzner', 'aws', 'gce', 'virtualbox', 'digialocean', 'cloud', 'nixops', 'libvirt']",7037
9,Pylons/waitress,1217,153,981,"['python', 'wsgi-server', 'http-server']",1798
10,PyTables/PyTables,1199,222,4410,[],38156
11,jazzband/django-axes,1186,299,1493,[],2283
12,pytest-dev/pytest-django,1170,307,1205,"['python', 'django', 'pytest', 'pytest-plugin', 'python3']",1691
13,codespell-project/codespell,1153,190,4602,"['hacktoberfest', 'hacktoberfest2022']",12988
14,gpodder/gpodder,1134,202,5184,[],35840
15,pwaller/pyfiglet,1129,101,229,"['ascii-art', 'figlet', 'python']",2778
16,mozilla/kitsune,1125,742,9386,[],143910
17,aitjcize/cppman,1125,74,456,[],9213
18,jsonpickle/jsonpickle,1115,142,1346,"['json', 'python', 'serialization', 'pickle', 'deserialization', 'objectstorage', 'bsd-3-clause']",2002
19,petl-developers/petl,1108,180,1274,[],3793
20,enthought/mayavi,1105,263,3210,[],95111
21,sumerc/yappi,1103,60,700,"['profilers', 'multi-threaded-applications', 'coroutine', 'asynchronous', 'python', 'asyncio', 'performance', 'profile', 'asgi', 'cpu', 'thread', 'gevent', 'greenlet', 'multithreading']",1611
22,jazzband/django-analytical,1101,150,587,"['python', 'django', 'analytics', 'templates']",837
23,etianen/django-watson,1098,125,472,[],463
