,Full_names,Stars,Num_Forks,Num_Commits,Topics,Size
0,liyanage/macosx-shell-scripts,113,13,198,198,190
1,vpulim/mango,100,17,28,28,332
2,qoda/python-wkhtmltopdf,105,40,80,80,45
3,ryancox/motionless,99,28,86,86,93
4,rw/plainsight,104,10,54,54,26
5,progval/Supybot-plugins,106,65,1518,1518,4534
6,ameerkat/imdb-to-sql,102,33,45,45,203
7,geier/pycarddav,99,35,573,573,911
8,ivyl/gedit-mate,99,28,55,55,876
9,stocyr/IcarusTouch,105,15,26,26,28685
10,kennethreitz/ghsync,102,15,41,41,16
11,clevercss/clevercss,100,12,181,181,264
12,bartTC/django-markup,122,38,125,125,151
13,sciyoshi/django-dbsettings,98,37,181,181,227
14,repoze/repoze.lru,101,25,102,102,96
15,CIRCL/bgp-ranking,99,17,1212,1212,5120
16,LumaPictures/LumaNukeGizmos,112,43,6,6,162
17,ianozsvald/EuroPython2011_HighPerformanceComputing,100,20,78,78,5211
18,ianmackinnon/png2svg,145,68,7,7,192
19,jaredly/codetalker,98,25,373,373,959
20,davedash/mysql-anonymous,106,31,13,13,9
21,dagwieers/asciidoc-odf,98,26,144,144,574
22,xolox/dedupfs,114,13,31,31,136
23,uploadcare/pyuploadcare,113,33,898,898,3087
24,paltman-archive/nashvegas,98,18,191,191,137
25,wesabe/fixofx,99,29,24,24,464
26,dag/attest,100,15,493,493,533
27,liut/imsto-python-old,97,19,99,99,526
28,roopeshvaddepally/python-ebay,101,51,121,121,138
29,gears/gears,96,14,312,312,810
30,stefankoegl/python-json-pointer,122,35,166,166,139
31,diogobaeder/pycket,98,28,85,85,67
32,ewa/python-webcrawler,105,73,11,11,9
33,openlabs/Microsoft-Translator-Python-API,100,38,43,43,347
34,MicahCarrick/gedit-source-code-browser,99,45,11,11,47
35,doctrine/orm-documentation,96,100,566,566,1366
36,sontek/pyramid_celery,102,60,189,189,129
37,garethr/cloth,97,13,8,8,151
38,coleifer/wtf-peewee,108,29,139,139,175
39,RyanBalfanz/django-sendgrid,97,25,480,480,409
40,drewcrawford/Phone-Pipe,97,4,20,20,152
41,apavlo/py-tpcc,115,75,62,62,187
42,Tristramg/osm4routing,105,29,46,46,90
43,dataiap/dataiap,100,85,198,198,83184
44,beanstalkd/pybeanstalk,100,14,141,141,153
45,otsaloma/nfoview,116,13,583,583,1160
